,sentence,gender
4998,"The king's being at grenwich has made every body almost leave london, that i am put to great deale of troble to find out those that should inde my mother's busines, and the more becaus i have bin ill after the manner i was, ever sins i left your ladiship at brome.",f
4999,"My lady barrington is not in towne, nor will be this tearme; but mr randolph has promised i will come that way as i come downe againe, which will be as soon as i can.",f
5000,My cosen peter meautys has your letters and a copy of the paper you sent; he stai's but for a winde.,f
5001,"I spake to m=rs= west, who desired me to retorne you humble thanks for your favour and bounty to her and her nece; her house will be emty within a fortnight, she saith, if pleas you to com~and it.",f
5002,"I have sent you some patterns of stuff such as is worne by many, but not much la's upon those wrought stufs; but the newest fashion is plaine satine, of what collor one will, imbroydered all over with alcomedes, but it is not like to hould past summer.",f
5003,"They weare whit sattine wascots, plaine, rased, printed, and some imbroydered with laes, more then any one thing, and whit holland on's much.",f
5004,"M=r= chitting com~ends his servic's to you all, and will bring the musition with him; which when i have done, and inquired of man charl's seasar, whom he serves, of his condishions, i will send you worde, and will be most carefull of all the com~ands you have or will be pleased to favour me with, or what else may give testimony    i am your faithfull frend and humble servant,    dorothe randolph.     sins i wrote this letter my lady cornwali's came to me, but not man fredrick; for he plai's least in sight, for feare, i thinke, that i should tell him his owne, but i am like to doe it the more, next time i see him.",f
5005,"I tould his lady the manner of his carage at brome, and that it was his own fault he came away upon noe better term's.",f
5006,"She profess's she know's his hart much desir's a sincere reconcilment; and the contrary, if it continue soe, will shorten his life: yet i perseave not him to be soe forward as she; but i know nothing but that he is soe backward to come to me, where he might further that he soe much desir's.",f
5007,"It will be too tedious to committ to wrighting all that passed betwene my lady cornwali's and me; only this in generall, she much desires, as she saieth, still to doe any thing that might give you satisfaction.",f
5008,"For the money, when she could get it, you should have it; and, if in the meane time the king and queen's promis from their own mouth's to you all will any way give you content, she will not faile to procure that, and she desired me to wright you word soe, which i made answer it was better for her to wrote it herselfe.",f
5009,"I knew not how you would like it, yet i let it goe on, that you might take that ocasion to speake with the king; and i thinke it may serve you for the money well, and be a mean's to get it sooner then they can otherwise, and it will be a caus that any body will thinke sufficient to bring you to towne.",f
5010,"My lady was afraid any thing that she should wrote would be unpleasing to you all, but i strived to perswade her from that; becaus, if you should accept any thing that she offers, you might have it under her owne hand. for  she might forget what she saied to me, and i might be accused for mistaking.",f
5011,"I thinke you weare never trobled with so tedious a letter, and therfore now i will conclude, with a harty wish of all hapin's to you all and yours; and soe, sweet mam, ons more farewell.",f
5012,"most hon=red= lady,    i should think it a great happin's to me if  could any waye merit the thanks which i receyued by your last letter, for there can neuer any thing happen within y=e= smal compass of my abillity to performe, that i will not most willingly effecte to doe your la=yp= seruice, or inwardly condemne my selfe of much ingratitude.",m
5013,"The newse we haue now a day's is so variously reported, that euen from good hands we cannot well be assured of it; yet, rather then to be altogether silent, i haue both now and y=e= last weeke sent your la=yp= what i heare, but, y=e= carryer beinge gone before my man came to him, i haue here inclosed it.",m
5014,"Sinse which time it is reported, that papinham has from y=e= emperour releued the towne of magdenbirg to his owne cost; for, after he had with 8000 intred the citty and spoiled it, he blewe vp the cheefe churche and ruined all y=e= best buldings, and then tooke all y=e= welth of y=e= towne with him, and so ment to haue returned in great triumph; but y=e= troop's of y=e= duke of saxon and count horne surprised his treasure, and did defeate all his men with a great slaughter.",m
5015,"This, with my humbly and most affectionat seruice, is the all i can present at this time, resting    you=r= la=yp's= most humble seruant,    ambrose randolph.",m
5016,"February 8, 1631-2.",m
5017,"most honored lady,     if i had much newse, it were now superfluous to write it, your la=yp= having so many of the courte y=t= can exactely relate it.",m
5018,"I therfore will only acquaint yor la=yp= with my owne misfortune, that this night at 11 of y=e= cloke lost my best freinde the lo=rd= of dorchester, his lady beinge very great with child.",m
5019,"To which sad euent i may also add an other greefe, which do with y=e= former much press me, and y=t= is the breache of promize from y=e= lord treasorer, whoe sayed i should have my mony this last tearme, but now i have smal hope of it a good while, if all be true y=t= is sayd of the exchequer.",m
5020,"I must therfore crave yo=r= la=pe's= pardon that i have not yet discharged y=e= debte of mony which i  so much desyre to paye to your la=yp=, but cannot yet so much as sett a certaine daye to doe it; but, when you please to com~and it, i will most willingly procure it, and most thankfully rest,    your la=yp's= most affectionat and humble seruant to command,    ambrose randolph.",m
5021,"Feb. y=e= 26, 1631-2.",m
5022,"deere sister,    i cannot but let you know what an afflycted and grieved lady the queene of bobemia is for the death of the king, who dyed at mentz in germany.",m
5023,Certainly no whoman shoulde tacke the death of a husband more to hart then this queene do.,m
5024,"I would that it lay in your power any waye in these her sorrows to bee a comfort to her, for i do asshewer you that you are much bound to her for her good opinnyon of you all; for, not long before the new's came of the king's death, i had the honnor to wayghte upon her at her court at rine, where she then was, and, amongst other discourse that her majesty was pleased to move onto me, she asked me when i heard from you all, and wheather my sonne were with you still or noe.",m
5025,"I toulde her that he was: ""otherwaies,"" said her ma=tie=, ""you need tacke no care for him."" i made her answer that my care for him was the les, in regarde that i knew him to bee with soe good a friend.",m
5026,"And said she, ""your sister is one of the best dispositions in the world, and every way i doe love her very well, and better then any lady in ingland that i knowe, and have a great deale of reason to doe soe."" this was her ma=tie's= discours of you all at that time before the princ's and the rest of the ladi's there present.",m
5027,"Now, i pray, give me leave to ask you a question, and that is, how you lyke my lyttle girle that is with my wyfe? i must tell you all that she has bin lapt in the skirts of her father's shirt, for she is beloved where she comes, and i love her very well, and soe do she me; and yet somtym's i can wipp her and love her too.",m
5028,"You must excuse me for using this language, for, when i cannot see my children, it do's me good to talke of them.",m
5029,"Now, as mr mayor of dover tolde my lord of essex that he had a better cup of wine in his sellar then that he had given his lordship at that tyme to drynck of, soe i must say i have another girle at home that is as pretty as nan, which god make me thankful to him for, and bl's me with mean's as may provyde for them! and soe, with my love and affection to you all and all yours, i committ you to god, and rest,    yours, t.",m
5030,Meautys.,m
5031,"Arnheim, the 2=d= of desember 1632.",m
5032,"To my deere sister, the lady bacon, geve these.",m
5033,"sister,    this eveninge the messenger i sent to london is retourned; what i have learnd of his sendinge ys, that the busyn's wherin my cosin dealt was the treaty of a match betweene mr philip woodhouse and the daughter of the l.",m
5034,"Lovelace, wherof i sayde somewhat to you all when we last mett.",m
5035,"That gentlewoman is nowe assured to one of the country where my l. lyveth, so that there ys an ind of that negotiation.",m
5036,This ys the awnsweare to what i promised to inquire after.,m
5037,"I will seale up these lyn's onto you with a larg acknowledgment of y=e= debt i owe you for your kinde visitacion, and so leave you for this tyme, being    y=r= very loving brother, ed. Bacon.",m
5038,"I remember well the busyn's treated on at hacqueneye, and the portion was 500+l.",m
5039,"There was some differense about the payment of some part of yt, which was the special cause why the match went not forward.",m
5040,"Redgrave, feb.",m
5041,"2, 1632-3.",m
5042,"my most honored lady,    i find my lady cornwali's in the same minde still of desiring your fauor, and a willingn's to haue you come up, but not to haue the king send for you; but i doubt not but shee will be easily aduised to make it her sutt to you all to come, that you may resaue the king and queene's promis for the mony; but i persaue shee is a littell afraid you should falle upon business past when you will speake with the king, not as it conserns s=r= fredric but him selfe, in the matter of his iniuring you.",f
5043,"But i will need say noe more of anything, sins i asure myselfe you haue resaued satisfacktion by s=r= fredrick; therfore i will now say noe more then that which i will euer be redy to make good, which is, that     i am your ladiship's faithfull frend and humble seruant,    dorothe randolph.",f
5044,My mother and housband present thar seruis to you all.,f
5045,Thar died of the plage but three.,f
5046,Maye the 25 .,f
5047,"To my most honored frend, the lady bacon, at brome.",f
5048,"according to my promise, i will not faile to let you understand of my proseedings last week, which was the first opportunity i could get to come onto the speech of my lord of dorset, who was pleased to tell me how much his lordship had travailed in mr meautys's behalf to his majesty for the making of a baronet, the which his majesty will by no means grant; so for that i am allredy answered.",f
5049,"Now for man alexander radcliffe and my lady: so soone as i came to london, i did write onto them, and sent those letters of mr meautys's inclosed, which, as it should seeme, they like of very well; for he is come to london, and tells me the cheefe part of his bissin's is to take me down into the country, my lady being very desirous to see i me, so that now i resolve to goe along with him.",f
5050,"Thus, intreating you to let me hear from you all as often as your leisure will permit, i rest,     your affectionate loving sister,     anna meautys.",f
5051,"London, nov=r= 24, 1632.",f
5052,"To my deare and much honoured sister, the lady bacon.",f
5053,"my deere mother,    in obediense to your la=p's= comands, i sende this messenger to tell you all that i am appointed to goe w=th= my lord marshal to the hage to fech the queene of bohemia; and therefore i humbly bege your leave and blessing, and desire to knowe if your la=p= will comand mee any servic's.",m
5054,"My warning is so short that i cannot have time to come kisse your hands my selve, for i knew not of it untill w=th=in this hower, and wee must goe away upon wensday.",m
5055,"Thus, with the presentments of mine and my wife's humble duty and respects to your la=p=, whoo desiers to be excused for not writing, i rest,    your most affectionately obedient sonne,    f.",m
5056,Cornwalleis.,m
5057,"my deere mother,    my lord marshal making so much have, i have onely time to tell your la=p= that wee are this morning imbarking, having a good winde and faire weethere, so that i hope wee will bee at the brill w=th=in 30 or 40 howres, and then i will with the next messenger give you an account of our journey againe; till w=ch= time, and ever, i will humbly beg your la=p's= blessing for my boy and    your most obedient sonne,     f.",m
5058,Cornwalleis.,m
5059,"Marget, this sunday morning, 30 day december .",m
5060,"my deere mother,    i must not omitt any oportunity to present my humble duty and respects to your la=p=, and so give you an account of my selve.",m
5061,"This night wee are savely (thank's bee to god!) arrived at delph, w=ch= is w=th=in a mile of the hage, and my lord imbassador is gone privately to the queene: in the morning he retourn's to us againe, and then the prinse and the stat's com's to fech us to the court.",m
5062,"This is all i know yet or have time to write; only to bege your la=p's= blessing upon    your most obedient sonne,     f.",m
5063,Cornwalleis.,m
5064,"Delph, this new year's night .",m
5065,"my deere mother,    the winde has been so contrary that i had noe means all this time to tell your la=p= that my selve and all our company are very well, and now very shortly coming for ingland, but w=th=out her wee came for; the cause i know not in particular, but i finde in general matters have bin ill carried, and that is as much as wee dare inquire into.",m
5066,"My lord goring is going in a great hurrie, and i have onely time to say i am    your la=p's= most obedient sonne,    f.",m
5067,Cornwallis.,m
5068,"my deere mother,    i besheech you excuse my scribling, for i broke my thumb in holland, and i cannot yet hould my pen allmost so longe as to tell your la=p= that the queene commends her love to you all, and has sent you the last cheane shee wore: but my cabinet is not yet come, and, if it weare, i should desire to deliver it and her one language my selve, which i will doe as soone as i am but a littell rested; for  wee weare forteene dai's at sea, and truely i am extreame sore with tumbling.",m
5069,"Mam, i humbly beg your blessing for mee and my boy.",m
5070,"Your la=p's= most obedient sonne to love and serve you,     f.",m
5071,Cornwallis.,m
5072,"my deere mother,    it was not hide parke, nor any other foolerie, that kept mee the last weeke from presenting my respects to your la=p=, but i was at kensington w=th= my lord of holland, who is still heare for sending my lord weston a challenge; but i hope wee will have him againe at court w=th=in one day or two.",m
5073,"Wee are mainly factious heere and disordered w=th= this; but i dare write noe more, onely, humbly beging your la=p's= blessing for mee and charles, i rest,     your most affectionately obedient sonne,    f.",m
5074,"Cornwallis.     for my deere and honored mother the lady bacon, at culforde, these.",m
5075,"my dere mother,    my hand is just well inough to present my humble duty and respects to your la=p=, and to tell you all that all our lords heere are made frinds againe and restored to the king's favor; which is all the new's wee have.",m
5076,"Now, maddam, i humbly bege your la=p's= praiers and blessing for charl's and your affectionately obedient sonne,     f.",m
5077,Cornwallis.,m
5078,"my deere mother,    will you give these leave to beg my pardon for not waiting on you this night; for this morning the duchesse and my lord of holland are gon to london, and laied there comands upon mee to waite of my lord dunlusse (my lord savage not being at home) as longe as he staied,  which will bee till twesday, and then i will not fule to waite on you; in the meane time, and ever, i will humbly beg your la=p's= blessing for charl's and your obedient sonne,    f.",m
5079,"Cornwallis.     if there come any letters from my wife, i pray open them and sende them to mee; and, if your la=p= can, i besheech you lend mee 20=l=, for the truth is i have lost all my mony.",m
5080,For my honored deere mother the lady bacon.,m
5081,"most deare sister,    not long sinse i had the happin's to receve a letter from you all, the which i was not a little joyfull of.",f
5082,"In that i was soe far remote from you all, i must confess it did grieve me, in that my being was so long in ingland; but now, sinse it has pleased god to bring me so far as london in my way towards the low countries, my desier is to receve your commands, for, soe soone as i can get convenient shipping, i will make all the haste over that i can.",f
5083,"Deare sister, i must aquaint you with the bissin's concerning man alexander radcliffe and my lady; as yet i understand by them how their estate is so much incombered, first by the occasion of their debtes, and then the redeeming of their land, the which her father mortgaged onto the very dor's of his house, that, until such time as their own estate be settled, they saye they will not be able to establish any sartinty upon me or mine; but so soone as they can take order for it, which this terme they intend to do, then they have both promised me seriously they will not faile to performe all that they can for me.",f
5084,"For them, i wish them much happines; and i must acknowledge i have bine very kindly intertained of them both all the time of my being there.",f
5085,"Now, deare sister, when you will see them in my absence, will you please to put them in mind of me, for their intent is to see you all this somer.",f
5086,"Deare sister, i must confess that i am ashamed now againe to trubble you, but my necessity is such, occasioned by my living and teduous travels, that i must intrete you to, if you please, to send me the money which is to be receved at midsomer.",f
5087,"Were it that i did know how to help myselfe, i would not bespeake one ower's time that you have prefixed, but now i hope that you will take me into your consideration.",f
5088,"And thus, wishing you the blessings of this life, and honor hereafter, i rest,    your most affectionate and truly sister ever to serve you,    anna meautys.",f
5089,"London, april 16, 1633.",f
5090,"most deare sister,    these are to intreate you, that, in my absence, you would be pleased to show this letter to man alexander and my lady when they will come onto you, which is to remember them of those promis's made onto me at my being with them.",f
5091,"The first was my lady whom i did acquaint, i telling her how much my case was to be commisserated, the promis's of my lord and her mother being now violated, the which they had with soe many solemn protestations vowed to performe to me, concerning the jointure of 200+l a yeare, and that if it should please god to take away my husband, what would become of me and my poore children; and withal i told her how much i did rely upon her goodnes, whom i did assure myselfe did love me soe well that she would take my case into her consideration: she said she would do what might be done for me, and that she would tell man alexander of it, who, she knew, would not be against any good that she should intend to any kindred of hers.",f
5092,"Then i did breake with him myselfe, and i must conf's i found him very noble in his answer, sayeing that soe soone as he had but settled his bissines, which he hoped to dispach this terme, he would conferme something upon me, which he said must be some of his own inheritance, for the rest, he said, was all intailed, only diss, upon his sone, which is 80+l a yeare.",f
5093,"He did solemnly swear to me he would not faile to do for me all that laye in his power, and soe did my lady too; soe that, when they have settled their occasions, that then they will really conferme something upon me.",f
5094,"I and mine will be ever obliged to them, and i am assured god will prosper them the better for their charitable performanse.",f
5095,"And soe, beseeching you to be an assistanse to me in this bissines, i will, now and ever, continew     y=r= most affectionate and truely loving sister to be commanded, anna meautys.",f
5096,"London, may 6, 1633.",f
5097,"To my deare and much honoured sister, lady bacon.",f
5098,"most deare sister,    i have receved that money which you was pleased to send me by mr greenhill, which came soe conveniently as i could wish.",f
5099,"The shipping is now come which i have soe long expected; and on saturday next i meane, with god's permission, to goe for the low countri's.",f
5100,"I have been much beholding onto my lady cornwalies, who was pleased to come and see me, and after brought me to kiss the king and queen's hands.",f
5101,"The king is gone for scotland; and for the other nuse att court concerning mr villiers and mr garman, i thinke you will heare the relacion of it before these will come onto you, so that i will not need further to write to you all of it.",f
5102,"Deare sister, i give you thank's for all your real favours, and all happin's attend you and all yours; and soe, being called away by the hasty marriners, i must desist to write, but never to love you.",f
5103,"Yo=r= most assured in all true affection,    anna meautys.",f
5104,"From london, may 9, 1633.",f
5105,"To my deare and much honoured sister, lady bacon.",f
5106,"Favor me, sweete sister, soe much to recommend my kind respect's onto my sweete neveu and my neece; and, if you will please to kisse prety charl's and hercul's for my sake, i will be your servant.",f
5107,"my deere mother,    i am just now come from waiting of the king into scotland; and, meeting w=th= the carrier, have made him stay so long as to tell your la=p= that i  will very shortly waite of you all, and humbly bege my selve your la=p's= blessing for charl's and     your la=p's= most affectionately obedient sonne,    f.",m
5108,Cornwallis.,m
5109,"deere mother,    i hoope, by god's great marsy to us, our sweete babs are as well as thay seem; i humbly beseech him to bless them with his sauinge grace.",f
5110,"But, mam, it dus hartily greefe me that you are so sade, becas i know it will hurte you, and then our suffrings muste bee more: therfor, good mother, for god sake cheere up yo=r= sperrets, and striue all you possible can to forgeete what is not to be helpte; for, mam, i hope god will bee so gratious to us as to keep our deere frede, and bring him to us again in safty, and then, mam, wee will bee joyfull again.",f
5111,"I wod to god i wear ine with you, for trwly i wod doo ore say any thing to cheere you up, for i haue more oblygation to yo=r= la=pe= then euer datter in law had to a mother; and by that i bege of you all that you put an inde to all sade thouts for me, for, mam, god has so infinitly blest us, that to the thurd parte of my greattest trubel will be ouer, and, i think, withhout any suspission att all; i humbly beseech god that i may neuer forgeet his great marsy in it.",f
5112,"Mam, this is heere a huge day of triounfe, and i haue taken so much hart and currage as a leettell to appeer amongst them, thoo it be but stagaring.",f
5113,"My lady mary and my lorde charl's are married, and thay say thers more brauery then has been seene a loung time.",f
5114,"So, praing for yo=r= helth and dessyre of yo=r= blessing and prayars for and to us all, i humbly kis yo=r= la=p's= hands as, mam,    yo=r= la=pe's= true affectinate datter and most humble saruante,    eliza cornewalleis.     mam, i think it best not to send any letters to my husband till we know whear he bee.",f
5115,"my deare mother,    sinse my comeing out of ingland i have been so happy as to receive five letters from your la=p=; and in your last your la=p= is pleased to take notize of a letter of mine which it should seeme bore no date, and thearfore your la=p= mak's some question that it was written before i came away.",m
5116,"I will assure you, mam, my journy was so sudden, that i had not time to write for your la=p's= leave and blessing, which were a great deale more considerable to me then all the rest of my fortune.",m
5117,"That made me send my wife to make my excuse, and in my name to beg it: but for that omission i hope, mam, i will easily obteine your la=p's= belief and pardon, when i tell you all i was so much distracted with the sense of my own misfortune, that caused me to be gilty of so much importunity to your la=p=, that i hardly durst venture at all to send it, but that the assuranse of your la=p's= goodness incouraged me to be confident that nothing can divert your affection.",m
5118,"Mam, your most obedient sonne, to dispose of as you like,    f.",m
5119,Cornwalleis.,m
5120,"Mam, i humbly beg your la=p's= blessing for myself and all mine, which i am sure will make us all very happy.",m
5121,"Paris, march 19,1633-4.",m
5122,"deere mother,    i hade last satterday broute me by a londonere a bill of exchange, as they cale it, for tow hunderd pounds, presently to bee paid to the barare therof, becas hee had alredy hade the muny.",f
5123,"I must conf's the hand is so licke my husband's, that i ueryly beleue it came from him, but whear hee shude thinke i shud haue the munny i cannot imagen; and, to, one of thos letters i sente to y=r= la=pe= last was datted the same daye that the marchant's note was, which was the 24 of may, and in that hee spack of noe suche thinge.",f
5124,"Now what in the worlde to saye to this marchant for the presente i knowe not, becas they say that if bills bee not presently paide heare, thay send back and protest them thear, and then nobody will trust them for any thinge.",f
5125,"Now, if that wod bring him home, it weare noe matter; but, alas! i fear it will note: therfore i tould the man, more to delay the time awhile, then for any hops that i hade of the munny, becas i think thear is more paide alredy to him and for him then is dwe to him of his halfe year's reuenue, that i myselfe was alltogether unprouided of such a sume of munny, and that hee sed nothing of it in his letter to me; but i wode sende doun to them that had the ordring of his bisnes, to see if ther weare any munny to be had, but named nobody.",f
5126,"I tould him it wode be neere a fortnite before i coulde heare an ansor, which time hee was contente to stay before hee sent backe to protest him.",f
5127,"Now i beseech you, mam, gife me yo=r= aduis what to say to him, for i know not whear to haue the munny; for, as for that that i am to haue for the halfe yeare, i haue so long promised paiment of what i can possibly spare, that i shud bee loth to faile them, if i wantted not food for my saruants and myselfe, being my husband has a compidens besides; for out of 150+l i am shur i haue promised abufe 6 score pound, shift as i can, and thay com and send daily for it, but as yet we can geet none out of the exchecer.",f
5128,"I humbly beseech god to presarue my poore husband, and bring him hom in safty to us; but, mam, th's 2 munths are mity loung.",f
5129,"But, good mother, i beseech you, be you chearly and make much of yo=r= selfe; and with th's resaue my humble thanks for our poore sweete babs, whom i most humbly beseech almighty god to bl's with his sauing grace.",f
5130,"Trwly, mam, i loung to see them and you, and you and them: and i hope the queene's being with childe, which now begins to bee publeckly spoken of, will bee noe hindrans to my coming to yo=r= la=pe=, thoe i fear it will be to my stay with you; for the queene had gifen me leaue  to a com to y=r= la=pe= when shee had gon her progres, and then i shud a had too munths ore 6 weeks to af staide with you, and now i fear i will be cut shorte of that time.",f
5131,"Here is much talking of forren wars and armis joyning, yet on sartentie; but i humbly beseech god kep our fred from amongst them and all harm.",f
5132,"My lady harborte, with all her youth and buttie, is deed of a spotted feuer, i which is uery rife at london: she is much lamented.",f
5133,"M=r= tressurer is taken in his rite hand with a ffitt of the ded palsie, as he was sitting down to supper.",f
5134,"I haue sente yo=r= la=e= a littill barrell of seffill oullifs: thay say thay are uery good for the spleene, if thay bee eaten in a morning fasting, and disgested by sum exsersize.",f
5135,"S=r= thomas stafford and mr gorge elliot presents ther saruis to yo=r= la=pe= and my faire sister, to whoom with my saruis i wish all happy suckses, and bege yo=r= blessing for and too us all, and so humbly kis yo=r= la=p's=  hands as, mam, yo=r= la=p's= trv affectinate dautter and humble saruant, eliza cornewalleis.",f
5136,The king has sente mr harry murry to see his sister the queene of boheme: she has had many fits of ane ague.,f
5137,The dutch's of richman is uery uell recouered againe.,f
5138,"Grinwich, the 4 of june .",f
5139,"deare mother,    i might bee accused of a greate deale of negligense if i shoulde not, as often as i have any occasion, present my most humble duty onto your la=p=; and i doe hope, maddame, to performe your la=p's= promize to my tutor for mee in regaining y=e= time i have lost.",m
5140,"Maddame, y=e= tailor saieth, for gownes, either a wrought silke grogorine or a tuffe taffety in graine, y=e= colour greene or tawny, which your la=p= pleaseth; for sowing hee require 2 yard's of velvet or plush, which your la=p= pleaseth: he require fourteen yard's for y=e= gowne, besid's the facings, of half a yarde broade.",m
5141,"N. B. Cambridge, may 23 .",m
5142,"deare mother,    i never faile as often as occasions shew themselv's of presenting my humble duty to your la=p=.",m
5143,"I doe count it a great happinesse, that, while i am deprived of your la=p's= sight, i have the oportunity to doe so in writing; and i very much wishe, maddam, i could as well expresse it in words as it is really in my heart: but your la=p= know my dissability that way, and therefore i hope you will excuse all faults committed in the writing.",m
5144,"Thus, maddam, humbly craving your la=p's= blessing, i rest, maddam,     yo=r= la=p's= most obedient childe,    nic.",m
5145,"Bacon,    my aunt walgrave presents her humble service.",m
5146,"Maddam, i will desire yo=r= la=p= to buy mee a blacke hatt, for that bever i have begins to decay.     to my deare and loving mother, the lady bacon, presente these.",m
5147,"deare sister,    these are to intrete you to let mr meautys and myselfe to understand the sertinty of your determinate resolution, whether you will be pleased to assist us in sending us one 100+l, and to paye yourselfe againe, as he has formerly writt onto you...",f
5148,"I can write noe nuse, but that there is in these parts many trubbles: the prinse of orringe his armi's and the french are joined together, but, before they did meete, the king of franse his army did give onto the king of spaine's army a great overthrow, in number slane and maimed 9000 men.",f
5149,"I was very lately by her ma=tie= the queen of bohemia, who has bine very sicke of an ague.",f
5150,"She was pleased to tell me she had bine that day 6 week's sicke that i was with her ma=tie=, and that in the time she had 23 fits; first she was soe extreme ill, that every fit held her ma=tie= 12 hour's long.",f
5151,"Her ma=tie= told me she was so weake that she was not able to stand upon her legs; but now, praised be god! she begins to mend finely.",f
5152,"I must need's tell you all i am much her ma=tie's= humble servant, for she is pleased to use me with a great deal of favour.",f
5153,"Her ma=tie= has done me the honor to give me some of her own linen to make me clothes, and likewize some of her own wareing linen for myselfe, which she had wont to ware herselfe in child-bed.",f
5154,"And although it has pleased the lord to laye many trubbels and afflictions upon my deare husband & myselfe, yet i thanke god it is his mercy towards us to give us a good repute.",f
5155,"My sweethart is now away from  me, but i hope his absense will not be long.",f
5156,"I am much your servant that you are pleased to let me understand of the wellfare and towardlyn's of my son hercules; for my other littell sonne, i have never bine so happy as onse to heare whether he is dead or alive, sinse my coming over;",f
5157,"&, although i have written diverse letters to my neece radcliffe, i have never receaved any from her.",f
5158,"I am so tedious, but love has no bounds in my affection to you all, and soe    i remain infinitely yours,    anna meautys.",f
5159,"Delft, june 1, 1635.",f
5160,"I hope my sweete neece anne is married before this; in which, if it be so, i wish her much happin's.",f
5161,"To my deare sister the lady bacon, at culfourd.",f
5162,"deere syster,    it was my fortune to come home att the same tyme my wyfe receued y=r= letter and bill of exchange of a hundred pounds for the three haulfe year's due att mid sommer next, for w=ch= i giue y=u= many kinde thancks; and, vntill that came, wee weare holly out of moneys, in regarde of the ill payement w=ch= the stats macks vnto vs. I am sorry to reede in y=r= letter to my wyfe, that my sonne is soe hard to learne, but i heere that it proceeds not from deuln's of spiritt, but rather from wildnes, w=ch= tyme may allter in him; for, yf i bee not deseued, hee is licke vnto his second sister, whome, i prayse god for, is a okay quic spiryted childe, but some thing hard to learne: but then my eldest gyrle is much the contrary, and of a good memory, and learn's more then i can finde mean's to haue tought hir, and i maye saye has all reddy sooed all hir wylde oats, soe much a whoman is shee grone, god bl's hir! my wyfe and my selfe are much troubled in regarde wee cannot heere any thinge of ower childe in lankess-shire, wee haueinge sent soe many letters theather, but can receue one ansour att all againe, neather dooe wee knowe for the present weare to direct ower letters.",m
5163,"I conf's that i loue my children well, but i had rather to haue none att all, then to haue them soe; but att my cominge for ingland i will cause him, yf that hee be aliue, to be fetched from the place weare hee is.",m
5164,"Thus, w=th= the remembranse of my loue to y=u=, i rest    y=r= affect=e= lovinge brother,    t.",m
5165,Meautys.,m
5166,"Delfe, the ij of june 1636.",m
5167,"For my deere syster the lady bacon, att hir howse att coulfurd in suffolcke, these.",m
5168,"deare mother,    i, according to your ladyships commands and my humble former promises, present my respects dutifull to your ladyship.",m
5169,"It is a troublesome time, i confesse, now; yet nothing may hinder a ready hart from breaking out into this paper service.",m
5170,"I suppose your ladyship expects to heare something concerning dr. Sibes: the new's is the worst we can send, for god has removed him from a mastership here to the fellowship of himself and blessed angels.",m
5171,A post this night gave us notice of his departure this morning.,m
5172,God turne all to the best.,m
5173,"My tutor & mr pots recommend their humble service to your ladyship; and i, as duty bind's me, close my letter with nothing but this, that i resolve to remaine    yo=r= ladyship's most obedient sonne,    nich.",m
5174,Bacon.,m
5175,"Cambridge, july 6, 1635.",m
5176,"To my deare mother, the lady bacon, at culforde, present these.",m
5177,"deare mother,    i humbly desire your la=p= not to thinke it out of any neglect that there came no letter from me this weeke, for i had written, and the carrier was gone to bedd and would not rize.",m
5178,"Mam, we have, i hope, a very good master, which is some comfort to us for the losse of d=r= sib's.",m
5179,"Mam, i will desire to waight upon your la=p= when my brother & sister come downe, if it please your la=p=; for i will herein, and all other things, submit i myselfe to your la=p's= pleasure, that so i may performe the part of     yo=r= la=p's= most obedient sonne,     nicholas bacon.",m
5180,"Cambridge, july 15, 1635.",m
5181,"deare mother,    i hope your la=p= was pleased to receiue my wiefe's excuse, & so to pardon mee that i had not the honor to write to your la=p= the last weeke; for, iust as i was aboute it, the kinge sent mee in a greate deale of haste to my lorde sauage, whoo, for all my speede, i founde deade beefore i came.",m
5182,"Hee has leafte noe will, & they say that his debts are a greate deale more then his fortune will bee after my lord riuers his death, espetially if hee shoulde dy beefore my lady.",m
5183,"Mam, all the other new's is of the ariual of the prinse elector, whoo came to the court vpon saterday night.",m
5184,"I was sente w=th= a message a friday to meet him at rochester; and vpon saterday morning my lorde of douer, my lo=rd= maltravers, w=th= ther gentillmen, did fech him to gravesend, wheare my lord marshal met him from the king, & my lorde goring from the queene, w=th= diuers earls, lords, & gentillmen, whoo did bring him to the tower by water; and there weare the king's & queene's coch's to receive him, w=th= thirty coch's more,  having 6 horsesse a pice.",m
5185,"Hee was received at whitehal w=th= a greate deale of state in generall, w=ch= has giuen the worlde much satisfaction & mak's all men think that this iourney will conduce much to the good of his affaiers.",m
5186,"Wee are all now at theobals, wheare wee will stay till saterday, & then retourne againe to london, &, i thinke, the next weeke to hamton court.",m
5187,"Mam, this is all the newes; for that w=ch= i will say to you all of my selve will bee none, w=ch= is, that i haue bin faine to pay away all the little mony that mr morse brought to stop some few people's mouths, & yet it will not halfe satisfy them; so that i haue not a shilling left for my selve, nor know not what to doe, vnlesse your la=p= will bee plesed to take mee into your consideration, w=ch= if your la=p= will please to doe now at this time, you will eternaly oblige, mam,    your la=p's= most affectionately obedient sonne,     f.",m
5188,Cornwalleis.,m
5189,"Mam, i will not faile to waite on your la=p= at broom at the awdit.",m
5190,"Theobals, november 26, 1635.",m
5191,"deere mother,    it was your favore to me that made me sende to the carrier to inquire after my letters, which i  shulde be much to blame to neglect without just excuse, sins you are pleased to give them so good acceptans; but i beleave the carriers, or some belonging to them, very faulty.",f
